"reelId","batch","pillarCode","pillar","lensCode","lens","questionCode","question","lifecycle","evidenceStatus","driveVerification"
"0001","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q01","यह वास्तव में क्या है?","planned","not_researched","not_uploaded"
"0002","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q02","इसका सबसे आम भ्रम क्या है?","planned","not_researched","not_uploaded"
"0003","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q03","हम इसे रोज़मर्रा में कैसे पहचानते हैं?","planned","not_researched","not_uploaded"
"0004","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q04","इसके पीछे प्रस्तावित तंत्र क्या है?","planned","not_researched","not_uploaded"
"0005","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q05","कौन-सा प्रमाण सबसे मजबूत है?","planned","not_researched","not_uploaded"
"0006","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q06","किस बात पर शोध सहमत नहीं है?","planned","not_researched","not_uploaded"
"0007","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q07","कौन-सा छोटा, सुरक्षित अवलोकन किया जा सकता है?","planned","not_researched","not_uploaded"
"0008","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q08","यह आदत क्यों कठिन लगती है?","planned","not_researched","not_uploaded"
"0009","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q09","संदर्भ इसे कैसे बदलता है?","planned","not_researched","not_uploaded"
"0010","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q10","क्या यह कारण है या केवल संबंध?","planned","not_researched","not_uploaded"
"0011","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q11","भाषा इसे कैसे प्रभावित करती है?","planned","not_researched","not_uploaded"
"0012","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q12","समय के साथ यह कैसे बदलता है?","planned","not_researched","not_uploaded"
"0013","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q13","किस समूह पर निष्कर्ष लागू हुआ?","planned","not_researched","not_uploaded"
"0014","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q14","नापने में कठिनाई क्या है?","planned","not_researched","not_uploaded"
"0015","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q15","कौन-सी वैकल्पिक व्याख्या संभव है?","planned","not_researched","not_uploaded"
"0016","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q16","छोटी सफलता क्यों मायने रखती है?","planned","not_researched","not_uploaded"
"0017","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q17","कौन-सी सीमा उपयोगी है?","planned","not_researched","not_uploaded"
"0018","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q18","क्या विशेषज्ञों में मतभेद है?","planned","not_researched","not_uploaded"
"0019","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q19","प्रौद्योगिकी इसे कैसे बदलती है?","planned","not_researched","not_uploaded"
"0020","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q20","नींद, तनाव, या पर्यावरण की भूमिका क्या है?","planned","not_researched","not_uploaded"
"0021","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q21","हम अपने अनुमान कैसे जाँच सकते हैं?","planned","not_researched","not_uploaded"
"0022","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q22","इसे नैतिक रूप से कैसे समझें?","planned","not_researched","not_uploaded"
"0023","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q23","यह पहचान और भूमिका से कैसे जुड़ता है?","planned","not_researched","not_uploaded"
"0024","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q24","कब सहायता लेना ठीक है?","planned","not_researched","not_uploaded"
"0025","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q25","इस परंपरा का दृष्टिकोण क्या है?","planned","not_researched","not_uploaded"
"0026","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q26","विज्ञान इससे क्या अलग कहता है?","planned","not_researched","not_uploaded"
"0027","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q27","क्या छोटा परिवर्तन व्यवहार्य है?","planned","not_researched","not_uploaded"
"0028","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q28","कौन-सा डेटा अभी गायब है?","planned","not_researched","not_uploaded"
"0029","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q29","इससे जिज्ञासा कैसे बढ़ती है?","planned","not_researched","not_uploaded"
"0030","Batch_001","MND","Attention, mind, and consciousness","L01","Core definition","Q30","मुख्य सीख क्या है?","planned","not_researched","not_uploaded"
"0031","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q01","यह वास्तव में क्या है?","planned","not_researched","not_uploaded"
"0032","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q02","इसका सबसे आम भ्रम क्या है?","planned","not_researched","not_uploaded"
"0033","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q03","हम इसे रोज़मर्रा में कैसे पहचानते हैं?","planned","not_researched","not_uploaded"
"0034","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q04","इसके पीछे प्रस्तावित तंत्र क्या है?","planned","not_researched","not_uploaded"
"0035","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q05","कौन-सा प्रमाण सबसे मजबूत है?","planned","not_researched","not_uploaded"
"0036","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q06","किस बात पर शोध सहमत नहीं है?","planned","not_researched","not_uploaded"
"0037","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q07","कौन-सा छोटा, सुरक्षित अवलोकन किया जा सकता है?","planned","not_researched","not_uploaded"
"0038","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q08","यह आदत क्यों कठिन लगती है?","planned","not_researched","not_uploaded"
"0039","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q09","संदर्भ इसे कैसे बदलता है?","planned","not_researched","not_uploaded"
"0040","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q10","क्या यह कारण है या केवल संबंध?","planned","not_researched","not_uploaded"
"0041","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q11","भाषा इसे कैसे प्रभावित करती है?","planned","not_researched","not_uploaded"
"0042","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q12","समय के साथ यह कैसे बदलता है?","planned","not_researched","not_uploaded"
"0043","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q13","किस समूह पर निष्कर्ष लागू हुआ?","planned","not_researched","not_uploaded"
"0044","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q14","नापने में कठिनाई क्या है?","planned","not_researched","not_uploaded"
"0045","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q15","कौन-सी वैकल्पिक व्याख्या संभव है?","planned","not_researched","not_uploaded"
"0046","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q16","छोटी सफलता क्यों मायने रखती है?","planned","not_researched","not_uploaded"
"0047","Batch_002","MND","Attention, mind, and consciousness","L02","Common misconception","Q17","कौन-सी सीमा उपयोगी है?","planned","not_researched","not_uploaded"
